,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree (misd/fel),compas_decile_score,two_year_recid
0,2,1,53,0,0,5,413,1,6,0
1,2,0,43,0,0,2,306,1,7,0
2,2,0,46,0,0,3,371,1,3,1
3,1,0,37,0,0,4,21,0,4,1
4,2,1,51,0,0,7,306,1,2,0
5,2,0,20,0,0,1,186,1,10,1
6,2,0,51,0,0,0,423,0,4,1
7,1,0,29,0,0,0,15,1,3,1
8,1,0,39,0,0,3,306,1,2,0
9,1,1,52,0,0,6,381,0,7,0
10,1,0,26,0,0,2,190,1,9,1
11,2,1,42,0,0,0,133,0,1,1
12,3,0,26,0,0,5,129,1,3,0
13,2,0,23,0,0,1,167,1,4,1
14,2,0,45,0,0,0,318,1,5,1
15,2,0,25,0,0,8,172,1,8,1
16,2,0,26,0,0,1,93,0,1,0
17,2,0,27,0,0,0,306,0,2,0
18,2,0,31,2,0,6,169,1,6,0
19,1,0,33,0,0,2,133,0,2,0
20,1,1,31,0,0,0,45,0,2,0
21,2,1,44,0,0,0,379,1,1,0
22,1,0,21,0,0,0,400,1,4,0
23,2,0,21,1,2,3,92,1,10,1
24,2,1,42,0,0,16,336,1,6,0
25,2,0,22,0,0,0,283,0,6,0
26,2,1,24,0,0,2,89,1,4,0
27,1,0,29,0,0,1,45,0,6,0
28,3,0,30,0,0,2,313,1,2,0
29,1,0,33,0,0,7,229,1,9,1
30,2,0,23,0,0,0,45,0,3,1
31,1,0,55,0,0,0,45,0,1,0
32,2,0,45,0,0,4,127,0,3,1
33,2,0,30,0,0,1,45,0,5,1
34,2,1,26,0,0,1,190,1,6,1
35,1,0,24,0,0,3,306,1,5,0
36,2,0,24,0,0,5,418,1,6,1
37,1,0,30,0,0,0,169,1,1,0
38,1,0,42,0,0,0,128,0,4,0
39,3,0,24,0,0,1,84,0,2,0
40,2,1,31,0,0,0,45,0,1,0
41,2,0,30,0,0,1,283,0,7,0
42,2,1,40,0,0,7,326,0,4,0
43,2,0,28,0,2,7,306,1,7,1
44,2,0,38,0,0,0,60,1,1,0
45,2,0,22,0,0,0,65,1,3,0
46,3,0,45,0,0,0,45,0,1,0
47,1,0,28,0,0,0,169,1,2,1
